CODI_INTERN,TIPUS_OCUPACIO,DATA_INICI,DATA_FI,DURADA,LAT,LNG,WKT
"5120700913688292107130","MUDANÇA","20/02/2017","20/02/2017","1","41,5533995887052","2,43826710725482","POINT (2.43826710725482 41.5533995887052)"
"5120700913691214607130","RASES I CATES","20/02/2017","22/02/2017","3","41,5519890521898","2,44838834585168","POINT (2.44838834585168 41.5519890521898)"
"5120700913692224607130","MUDANÇA","20/02/2017","20/02/2017","1","41,5534532343402","2,43812941257396","POINT (2.43812941257396 41.5534532343402)"
"5120700913725025107130","RESERVES D' ESTACIONAMENT","22/02/2017","19/06/2017","118","41,5436654410487","2,42253309249723","POINT (2.42253309249723 41.5436654410487)"
"5120700913726965107130","TERRASSES DE BAR","01/05/2017","30/09/2017","153","41,5444854251446","2,43532201111068","POINT (2.43532201111068 41.5444854251446)"
"5120700913727140107130","CONTENIDOR DE RUNA","22/02/2017","03/03/2017","10","41,5361952083921","2,4349824748909","POINT (2.4349824748909 41.5361952083921)"
"5120700913293045607130","REHABILITACIÓ DE CONSTRUCCIONS","27/12/2016","27/03/2017","91","41,5398805143808","2,43422470189851","POINT (2.43422470189851 41.5398805143808)"
"5120700913402686607130","COMERÇ URBÀ","15/07/2017","15/07/2017","1","41,5376282011726","2,44076347076188","POINT (2.44076347076188 41.5376282011726)"
"5120700913404823607130","CONTENIDOR DE RUNA","09/01/2017","12/01/2017","4","41,5396710638595","2,44140205384588","POINT (2.44140205384588 41.5396710638595)"
"5120700915005229607130","OBRES","24/03/2017","24/03/2017","1","41,537789587473","2,43992813087215","POINT (2.43992813087215 41.537789587473)"
"5120700915173850607130","OBRES","05/04/2017","05/04/2017","1","41,5378846477957","2,44818132554185","POINT (2.44818132554185 41.5378846477957)"
