CODI_INE,NOMBRE_HABITANTS,NOMBRE_DONES,NOMBRE_HOMES,DONES_00_16,HOMES_00_16,DONES_17_29,HOMES_17_29,DONES_30_49,HOMES_30_49,DONES_50_69,HOMES_50_69,DONES_70,HOMES_70,NOMBRE_VEHICLES,LAT,LNG,WKT
"3-6-10","38","20","18","1","1","5","3","3","3","11","11","0","0","39","41,554380856882","2,44580389385344","POINT (2.44580389385344 41.554380856882)"
"6-6-04","544","277","267","40","42","36","37","78","92","65","61","58","35","203","41,5397689491702","2,43494939074634","POINT (2.43494939074634 41.5397689491702)"
"5-19-02","485","255","230","45","46","35","30","74","71","63","54","38","29","162","41,5397946190489","2,42546799126127","POINT (2.42546799126127 41.5397946190489)"
"6-13-06","253","129","124","7","24","12","16","32","38","37","26","41","20","78","41,5400021894086","2,43327566721249","POINT (2.43327566721249 41.5400021894086)"
"2-10-11","136","73","63","15","12","14","13","17","16","20","17","7","5","55","41,540132349713","2,45074632697949","POINT (2.45074632697949 41.540132349713)"
"5-7-02","363","186","177","34","35","16","20","56","64","33","32","47","26","133","41,5397949416037","2,42265182176988","POINT (2.42265182176988 41.5397949416037)"
"6-6-05","386","208","178","24","33","26","19","71","62","37","35","50","29","142","41,5401551994609","2,43420815002269","POINT (2.43420815002269 41.5401551994609)"
"2-1-10","75","35","40","1","3","7","8","8","14","14","12","5","3","46","41,5400441510045","2,45216230592792","POINT (2.45216230592792 41.5400441510045)"
"5-19-03","129","71","58","9","2","15","8","11","14","30","27","6","7","61","41,540208324121","2,42426033636585","POINT (2.42426033636585 41.540208324121)"
"6-13-07","248","124","124","14","23","16","18","32","33","29","27","33","23","97","41,5401520278629","2,43287031772889","POINT (2.43287031772889 41.5401520278629)"
"6-6-03","338","181","157","26","24","23","27","44","36","54","47","34","23","170","41,54003598193","2,4361994349116","POINT (2.4361994349116 41.54003598193)"
"1-7-09","133","62","71","6","15","9","6","13","21","18","20","16","9","78","41,5391585797567","2,43804556338618","POINT (2.43804556338618 41.5391585797567)"
"5-17-03","414","204","210","44","39","22","32","65","70","44","48","29","21","148","41,5389516639352","2,42428767586338","POINT (2.42428767586338 41.5389516639352)"
"6-6-01","193","103","90","19","20","13","8","36","33","19","20","16","9","85","41,5394459033109","2,43652415006036","POINT (2.43652415006036 41.5394459033109)"
"1-7-03","235","125","110","23","17","19","21","35","35","30","23","18","14","106","41,5391073634643","2,4404009659694","POINT (2.4404009659694 41.5391073634643)"
"6-8-06","345","182","163","27","37","22","28","53","44","62","46","18","8","171","41,5394762276166","2,43101616430006","POINT (2.43101616430006 41.5394762276166)"
"2-10-03","85","51","34","11","4","3","4","17","16","18","9","2","1","40","41,5397090035648","2,44740526000954","POINT (2.44740526000954 41.5397090035648)"
"6-13-04","79","41","38","1","5","9","6","5","9","18","10","8","8","35","41,5396165809036","2,43224786095203","POINT (2.43224786095203 41.5396165809036)"
"6-13-05","109","56","53","1","4","12","11","6","11","27","23","10","4","66","41,5396034167705","2,43270401215439","POINT (2.43270401215439 41.5396034167705)"
"1-4-01","188","119","69","13","10","10","9","25","21","19","13","52","16","60","41,539210528861","2,44415844737201","POINT (2.44415844737201 41.539210528861)"
"1-4-05","163","80","83","14","23","8","15","24","23","26","14","8","8","71","41,5394794383649","2,44217470605719","POINT (2.44217470605719 41.5394794383649)"
"2-2-02","399","210","189","19","26","27","30","53","54","72","61","39","18","193","41,5397080450278","2,45367260027849","POINT (2.45367260027849 41.5397080450278)"
